,pid,pos,artist_name,track_uri,artist_uri,track_name,album_uri,duration_ms,album_name,acousticness,energy,liveness,loudness,tempo,valence,danceability,speechiness
0,0,0,Møme,spotify:track:6HViP4DVYa8gQtxLndmhwu,spotify:artist:4lDXfIznmGueBgTjI3qGUX,Aloha,spotify:album:0HLgfzY2myeWL0PexR0s38,218480,Panorama,0.211,0.629,0.164,-7.491,99.973,0.337,0.638,0.0834
1,0,1,ZHU,spotify:track:2HJQcyUpmUuvzS5vBAICIc,spotify:artist:28j8lBWDdDSHSSt5oPlsX2,Working For It - Bonus Track,spotify:album:6Xhb46t8f3z8FkuXQAj4UV,231813,GENERATIONWHY,0.0971,0.715,0.247,-6.587,99.951,0.502,0.776,0.0505
2,0,2,DJ Snake,spotify:track:4OZEu0Vwq0RB2LAq14v99n,spotify:artist:540vIaP2JwjQb9dm3aArA4,Middle,spotify:album:55bbXORm6ZrVq52zfZnxBf,220573,Encore,0.0199,0.7,0.0549,-5.331,104.981,0.213,0.611,0.0436
3,0,3,Duke Dumont,spotify:track:0k93MXOj0kSXo84SvSDeUz,spotify:artist:61lyPtntblHJvA7FMMhi7E,Ocean Drive,spotify:album:1jlUEbR1VEEGzjK47Xk1gT,206320,Ocean Drive,0.00714,0.711,0.135,-5.027,115.048,0.566,0.689,0.0455
4,0,4,G-Eazy,spotify:track:4jGqZyJhgM89rnIzCV2qZz,spotify:artist:02kJSzxNuaWGqwubyUba0Z,These Things Happen,spotify:album:6wDc63NhKy2PyXdbhkRmrl,144173,These Things Happen,0.0597,0.682,0.0745,-9.04,86.87,0.388,0.521,0.446
5,0,5,Drake,spotify:track:1xznGGDReH1oQq0xzbwXa3,spotify:artist:3TVXtAsR1Inumwj472S9r4,One Dance,spotify:album:3hARKC8cinq3mZLLAEaBh9,173987,Views,0.00784,0.619,0.351,-5.886,103.989,0.371,0.791,0.0532
6,0,6,Drake,spotify:track:5mPSyjLatqB00IkPqRlbTE,spotify:artist:3TVXtAsR1Inumwj472S9r4,Pop Style,spotify:album:40GMAhriYJRO1rsY4YdrZb,212947,Views,0.192,0.462,0.105,-10.027,133.054,0.0595,0.713,0.123
7,0,7,Robin Schulz,spotify:track:5tf1VVWniHgryyumXyJM7w,spotify:artist:3t5xRXzsuZmMDkQzgOX35S,Sugar (feat. Francesco Yates),spotify:album:5XyJzEROSmup2TcWmVjTIt,219043,SUGAR,0.0185,0.815,0.163,-5.098,123.063,0.636,0.636,0.0581
8,0,8,G-Eazy,spotify:track:26jrY21NkSefFPxpndtu4z,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Of All Things,spotify:album:09Q3WwGYsQe5ognkvVkmCu,213560,When It's Dark Out,0.213,0.483,0.197,-10.664,96.976,0.589,0.74,0.331
9,0,9,G-Eazy,spotify:track:76cdpJtbucm5LkjJ073uwP,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Think About You,spotify:album:09Q3WwGYsQe5ognkvVkmCu,179347,When It's Dark Out,0.228,0.489,0.0854,-12.565,95.151,0.362,0.725,0.256
10,0,10,Drake,spotify:track:3NxAG2ni1lLa8RKL6a0INc,spotify:artist:3TVXtAsR1Inumwj472S9r4,Childs Play,spotify:album:40GMAhriYJRO1rsY4YdrZb,241400,Views,0.017,0.473,0.197,-11.243,80.006,0.296,0.745,0.0955
11,0,11,Hundred Waters,spotify:track:5PnBpKOVvQxeFvXVNYSoxs,spotify:artist:108ugtkRFQzP9nGgNiyERO,"Show Me Love (feat. Chance The Rapper, Moses Sumney and Robin Hannibal) - Skrillex Remix",spotify:album:7pPVcx3O9eZrPCgBmpW5HV,241846,"Show Me Love (feat. Chance The Rapper, Moses Sumney and Robin Hannibal)",0.08,0.794,0.329,-4.973,129.434,0.178,0.418,0.0816
12,0,12,Pham,spotify:track:3gZUflBBfgS3QiTSTg0hk0,spotify:artist:2GH5uRMxmuAWn90B8DEZU3,Movements,spotify:album:6LcbhFnEpPsY1JkyA8Sgv8,208671,Movements - Single,0.26,0.538,0.13,-7.972,110.879,0.352,0.824,0.269
13,0,13,Quinn XCII,spotify:track:4gHSezW5CHZCvjAUjF2pd5,spotify:artist:3ApUX1o6oSz321MMECyIYd,Another Day in Paradise,spotify:album:4Rp02sRtYz5Kp9qHP4VcxQ,255000,Change of Scenery,0.161,0.802,0.143,-5.308,167.952,0.559,0.652,0.0669
14,0,14,Charles Hamilton,spotify:track:6TQLkbvkNQaiNnZETjxOIA,spotify:artist:4jOUE5phvhoCUHQBZ3uMyM,3rd Eye Magic Intro,spotify:album:7lM3vvMGv4bS57e0XSw4FK,266075,3rd Eye Magic: Abracadabra,4.14E-05,0.538,0.1,-10.143,96.015,0.274,0.434,0.0897
15,0,15,DJ Khaled,spotify:track:5TqBAOIBe0bQA0spNdcG3k,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,For Free,spotify:album:5qHyKDjwycRj1fJyPLt2HQ,183695,Major Key,0.0173,0.571,0.153,-8.241,103.521,0.498,0.916,0.2
16,0,16,Beyoncé,spotify:track:5hgnY0mVcVetszbb85qeDg,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Partition,spotify:album:2UJwKSBUz6rtW4QLK74kQu,319467,BEYONCÉ [Platinum Edition],0.0296,0.441,0.306,-11.523,185.571,0.174,0.412,0.291
17,0,17,Tove Lo,spotify:track:45Hsbni3CutyzdVm7QO9F2,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,Habits (Stay High) - Oliver Nelson Remix,spotify:album:3PtQI5CvQTGPKdqmZevFwY,252093,Truth Serum,0.0346,0.785,0.157,-4.3,116.007,0.49,0.78,0.0746
18,0,18,FRENSHIP,spotify:track:2XMTqoHHSH0lvuXrvIEdco,spotify:artist:7xEFii6utZmQ61kX59HmLH,Capsize,spotify:album:5qeKpDQFyotJjLh61pUZQo,237707,Truce - EP,0.0398,0.708,0.686,-6.244,92.991,0.355,0.683,0.0305
19,0,19,Black Coast,spotify:track:5LZQ5s0kRZS9nBSd1xLK7U,spotify:artist:4JMdvZoXArDVuMNNelKmjo,Trndsttr (feat. M. Maggie) - Lucian Remix,spotify:album:5q3vgbTbWJut1Go3qzVgya,179658,Trndsttr (feat. M. Maggie),0.354,0.476,0.332,-4.337,129.827,0.471,0.794,0.0558
20,0,20,Hippie Sabotage,spotify:track:7MiZjKawmXTsTNePyTfPyL,spotify:artist:4dM6NDYSfLcspt8GLoT5aE,Devil Eyes,spotify:album:1RVXVo1puacM8aQ6hgQahi,131272,Providence,0.702,0.396,0.315,-8.621,99.112,0.199,0.391,0.189
21,0,21,Tove Lo,spotify:track:5dKyZWlgjWw1oJgLa4GCZD,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,Cool Girl,spotify:album:2cX9e3renOX5bUQEXWFrJr,199179,Lady Wood,0.335,0.71,0.074,-6.997,102.022,0.233,0.671,0.109
22,0,22,Dillon Francis,spotify:track:6m3ZWIXhjoV76syT1j2oE9,spotify:artist:5R3Hr2cnCCjt220Jmt2xLf,Coming Over (feat. James Hersey),spotify:album:5yscEifoZw3M3abIVCr8ed,178333,This Mixtape is Fire.,0.227,0.661,0.166,-5.5,174.031,0.698,0.631,0.0999
23,0,23,Kendrick Lamar,spotify:track:6REbwUNlppTfcnV4d4ZoZi,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Swimming Pools (Drank),spotify:album:2XPrwlaAHHXnJzP9tBcIzH,247800,Swimming Pools (Drank),0.00627,0.447,0.0899,-5.892,74.236,0.189,0.577,0.277
24,0,24,Lloyd,spotify:track:62fX2b2VUsHk0S6Jhc24B2,spotify:artist:5pXVjI7iZglxwBM9jMikli,Swimming Pools,spotify:album:7nahFZZ6yYcQwCzxFIxx29,168587,The Playboy Diaries,0.0819,0.606,0.214,-5.862,147.534,0.204,0.577,0.285
25,0,25,Cherub,spotify:track:152ANCuCtaK7mkhyFubrRG,spotify:artist:00dwwnz3V4kRfu3UFYpJLz,Doses & Mimosas,spotify:album:36ypuZEeHzKt3jm4gh6J4Q,323240,Year of the Caprese,0.159,0.636,0.0352,-7.876,114.502,0.357,0.767,0.0969
26,0,26,A$AP Rocky,spotify:track:4X5f3vT8MRuXF68pfjNte5,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,F**kin' Problems,spotify:album:6rzMufuu8sLkIizM4q9c7J,233787,LONG.LIVE.A$AP (Deluxe Version),0.024,0.693,0.11,-6.87,95.967,0.66,0.852,0.274
