,pid,pos,artist_name,track_uri,artist_uri,track_name,album_uri,duration_ms,album_name,acousticness,energy,liveness,loudness,tempo,valence,danceability,speechiness
0,0,0,Yiruma,spotify:track:7fnqltLx83HsYLQajzCYRk,spotify:artist:0fauHpmSHwodVYIjTqOGHz,River Flows In You,spotify:album:0vIR7YccgfLA1f5wcXZa4Z,185013,River Flows In You,0.988,0.207,0.088,-21.487,144.547,0.109,0.32,0.0512
1,0,1,Frédéric Chopin,spotify:track:3w8507pR0Ncycrol0ZJOwP,spotify:artist:7y97mc3bZRFXzT2szRM4L4,Ballade No. 4 in F minor Op. 52,spotify:album:2ML75R6Z1LEFgPNZS0Ce3D,676000,The Best of Chopin,0.993,0.105,0.103,-24.507,70.014,0.0377,0.27,0.0439
2,0,2,Alexander Pitamic,spotify:track:59E6rPql7W8q2sodZpg1qQ,spotify:artist:4TuTJcUBhYyPoHYTSQzGAM,"Serenade für Streicher Nr. 13, G-Dur, KV 525: I. Allegro",spotify:album:3V8JHEeOhi7Z765C6v3Pqr,391000,"Wolfgang Amadeus Mozart: Sinfonie Nr. 29, A-Dur, KV 201 - Serenade für Streicher Nr. 13, G-Dur, KV 525",0.952,0.0763,0.1,-20.524,122.174,0.41,0.544,0.0505
3,0,3,Johann Sebastian Bach,spotify:track:48BSXfxyLLxDIp934Is2A9,spotify:artist:5aIqB5nVVvmFsvSdExz408,"Cello Suite No. 1 in G Major, BWV 1007: I. Prelude",spotify:album:2cj4D33pmIvDCiDYWg80Nj,132120,"Bach, J.S.: 6 Suites for Solo Cello, Bwv 1007-1012",0.99,0.213,0.0859,-20.577,79.423,0.617,0.341,0.0715
4,0,4,Hans Zimmer,spotify:track:4aW4Dpz3gpb619hBXDrFUa,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,"Honor [Main Title Theme From ""The Pacific""]",spotify:album:0NH1WrtzRBlZS1VJX2XnXr,176587,The Pacific (Music From the HBO Miniseries),0.335,0.276,0.11,-14.83,68.619,0.0575,0.19,0.0346
5,0,5,Hans Zimmer,spotify:track:79ch1KhwRkS6aRHqcY3uST,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,Landing Peleliu,spotify:album:0NH1WrtzRBlZS1VJX2XnXr,202560,The Pacific (Music From the HBO Miniseries),0.793,0.318,0.0822,-17.988,75.008,0.136,0.0722,0.0577
6,0,6,David Robidoux,spotify:track:5yeyJAaNge8igqRd8YGgru,spotify:artist:1NF94pbODyAcYFh8PpbvfS,Give 'Em a Chance,spotify:album:4NQpCYgtXb8q7f76i0QCQr,147611,Hard Knocks Volume 2 (Soundtrack from the HBO Series),0.093,0.66,0.114,-9.152,114.955,0.307,0.851,0.0462
7,0,7,Dominik Hauser,spotify:track:4NAP53MeGEffncl2H1SX4V,spotify:artist:4MTfVjZzx72caVcbCjUK73,"""Straight Up and Down"" - (From ""Boardwalk Empire"")",spotify:album:47oWfmsIZQgFihMssUuAus,90969,Television's Finest: Volume Five - The 2000's,0.147,0.552,0.133,-9.349,92.009,0.329,0.601,0.0308
8,0,8,Ennio Morricone,spotify:track:6PrKZUXJPmBiobMN44yR8Y,spotify:artist:1nIUhcKHnK6iyumRyoV68C,L'Estasi Dell'oro (The Ecstasy Of Gold) - 2004 Digital Remaster,spotify:album:1oLT2HO5MVNS8U4kEuBvdJ,203227,"The Good, The Bad & The Ugly",0.826,0.474,0.195,-13.864,98.854,0.133,0.134,0.0518
9,0,9,London Music Works,spotify:track:53LYmvN8vMLqZ1NZE2efPC,spotify:artist:0VeT7hHTJFJZcENGekjCsB,Requiem For A Tower,spotify:album:7dJVWUeXLaRM0757JBKmeV,250467,Coming Soon - Trailer Tunes,0.221,0.605,0.106,-9.956,157.05,0.195,0.365,0.04
10,0,10,"The London Pops Orchestra, Conducted by Nelson Corbin",spotify:track:1Zx0HBD6TK0X6lzrxtPWth,spotify:artist:0tHzApolLRnBD2Pqdb5N6I,"Toccata and Fugue in d monor, BWV 565, Johann Sebastian Bach",spotify:album:39sRSYiqzjiFpV53Qcewfo,542000,Music From Fantasia,0.766,0.2,0.0867,-16.365,67.508,0.114,0.0669,0.0352
11,0,11,Andrea Bocelli,spotify:track:1DzDYmTIaLPQDAALkrjXg1,spotify:artist:3EA9hVIzKfFiQI0Kikz2wo,Time To Say Goodbye (Con Te Partiro),spotify:album:0wBC2L2Gqu2X0pI8ONisdF,247000,Romanza,0.91,0.454,0.0904,-6.152,177.079,0.408,0.176,0.035
12,0,12,Stuttgart Chamber Orchestra,spotify:track:7DTp0wFpktphrM7vDnPCs1,spotify:artist:51RiZjPgKKJ1uDsZVmntmF,The Four Seasons,spotify:album:3EvjhreyDz2ks1LgZCy0Lu,193464,Ultimate Wedding Collection: Ceremony,0.791,0.119,0.162,-17.249,107.694,0.254,0.496,0.0387
13,0,13,The London Film Score Orchestra,spotify:track:65iKIxXPoNOpPYQsc5te6X,spotify:artist:73Fn8jqdMFpFm7iD1I9Byp,"Skyfall (Theme Song) [From ""Skyfall""] [Bonus Track]",spotify:album:6vM6wTcGyvYaJn8gmV8wRY,290068,"Soundtrack Music from the 2013 Film Awards, Los Angeles, USA",0.455,0.41,0.233,-8.542,148.195,0.0909,0.473,0.0292
14,0,14,Hans Zimmer,spotify:track:0Wel6UModISczHwHHrdoNq,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,Discombobulate,spotify:album:5R34nmGZeKu9WXtJvcVmb6,144933,Sherlock Holmes (Original Motion Picture Soundtrack),0.209,0.581,0.0578,-10.486,142.025,0.537,0.748,0.0609
15,0,15,Hans Zimmer,spotify:track:12sj1ybHe6d5I2ltGQr7Iz,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,"Is It Poison, Nanny?",spotify:album:5R34nmGZeKu9WXtJvcVmb6,173093,Sherlock Holmes (Original Motion Picture Soundtrack),0.542,0.154,0.069,-24.203,141.988,0.195,0.572,0.0377
16,0,16,Hans Zimmer,spotify:track:4PuFXUIKk7ZauOScDrrITg,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,My Mind Rebels At Stagnation,spotify:album:5R34nmGZeKu9WXtJvcVmb6,271587,Sherlock Holmes (Original Motion Picture Soundtrack),0.454,0.138,0.103,-18.2,96.59,0.0513,0.223,0.0299
17,0,17,Hans Zimmer,spotify:track:78VTQtPvz5pcE6BL7ahLmf,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,"Data, Data, Data",spotify:album:5R34nmGZeKu9WXtJvcVmb6,135893,Sherlock Holmes (Original Motion Picture Soundtrack),0.411,0.079,0.162,-29.839,119.94,0.0387,0.624,0.0409
18,0,18,Hans Zimmer,spotify:track:49EwnDEo5CY6Hn0dxiP9A3,spotify:artist:0YC192cP3KPCRWx8zr8MfZ,He's Killed The Dog Again,spotify:album:5R34nmGZeKu9WXtJvcVmb6,195347,Sherlock Holmes (Original Motion Picture Soundtrack),0.42,0.336,0.405,-15.633,141.952,0.0406,0.368,0.0504
19,0,19,Richard Armitage,spotify:track:1yJzoX4xPsACzVxUarXRKa,spotify:artist:6DQsmplq17UDA3zmiybbSb,Misty Mountains,spotify:album:3mMzACib09CHoUckDa3AR9,99680,The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack,0.858,0.0156,0.114,-30.748,120.635,0.183,0.242,0.0366
20,0,20,Klaus Badelt,spotify:track:3rPmRqTPwBs5qCotzfqpwO,spotify:artist:03GruNQP8X25PCoWzdvIGZ,"Fog Bound - From ""Pirates of the Caribbean: The Curse Of the Black Pearl""/Score",spotify:album:4Qe057XqKloVNhnPohj6Yo,136480,Pirates of the Caribbean: The Curse of the Black Pearl,0.866,0.0876,0.0833,-22.851,86.262,0.0375,0.227,0.0397
21,0,21,Klaus Badelt,spotify:track:35gFlKdC4Pmo88Go1cVrae,spotify:artist:03GruNQP8X25PCoWzdvIGZ,"The Medallion Calls - From ""Pirates of the Caribbean: The Curse Of the Black Pearl""/Score",spotify:album:4Qe057XqKloVNhnPohj6Yo,112507,Pirates of the Caribbean: The Curse of the Black Pearl,0.576,0.361,0.0985,-12.536,96.456,0.0868,0.368,0.0312
